"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"DummyJSON User API","Users Management","Update User","0","0","2","0","0"
"Database Management","PostgreSQL Database Integration","Product Management","0","0","1","0","0"
"UI Automation","Shopping Cart","Cart Navigation","0","0","1","0","0"
"DummyJSON E-Commerce API","Products Management","Delete Product","0","0","2","0","0"
"UI Automation","Product Catalog & Inventory","Catalog Browsing","0","0","1","0","0"
"Database Management","PostgreSQL Database Integration","Order Relational Verification","0","0","1","0","0"
"Database Management","PostgreSQL Database Integration","User Status Management","0","0","1","0","0"
"UI Automation","Authentication & Authorization","User Login","0","0","5","0","0"
"DummyJSON E-Commerce API","Products Management","Update Product","0","0","3","0","0"
"UI Automation","Product Catalog & Inventory","Product Details","0","0","1","0","0"
"UI Automation","Shopping Cart","Remove from Cart","0","0","2","0","0"
"Service Virtualization","WireMock HTTP Mocking","Rate Limiting Simulation","0","0","1","0","0"
"DummyJSON E-Commerce API","Products Management","Read Product","0","0","4","0","0"
"UI Automation","Order Checkout E2E","Checkout Validation","0","0","3","0","0"
"DummyJSON User API","Users Management","Delete User","0","0","2","0","0"
"UI Automation","Product Catalog & Inventory","Catalog Sorting","0","0","4","0","0"
"UI Automation","Order Checkout E2E","End-to-End Order Placement","0","0","1","0","0"
"Database Management","PostgreSQL Database Integration","User Entity Verification","0","0","1","0","0"
"DummyJSON E-Commerce API","Products Management","Create Product","0","0","3","0","0"
"DummyJSON User API","Users Management","Create User","0","0","3","0","0"
"Service Virtualization","WireMock HTTP Mocking","Stateful Scenario Mocking","0","0","1","0","0"
"Service Virtualization","WireMock HTTP Mocking","External Service Mocking","0","0","1","0","0"
"UI Automation","Order Checkout E2E","Checkout Navigation","0","0","2","0","0"
"UI Automation","Shopping Cart","Add to Cart","0","0","2","0","0"
"Service Virtualization","WireMock HTTP Mocking","Fault & Error Simulation","0","0","1","0","0"
"Service Virtualization","WireMock HTTP Mocking","Request Verification & Header Validation","0","0","1","0","0"
"UI Automation","Authentication & Authorization","User Logout","0","0","1","0","0"
"DummyJSON User API","Users Management","Read User","0","0","3","0","0"
"Database Management","PostgreSQL Database Integration","Connection & Seed Verification","0","0","1","0","0"
"Service Virtualization","WireMock HTTP Mocking","Latency & Delay Simulation","0","0","1","0","0"
"Database Management","PostgreSQL Database Integration","Cascade Deletion","0","0","1","0","0"
